Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Integrin Signaling	1.82E00	3.41E-02	2.449	CAPN1,ILK,ITGA2B,ITGB5,RALB,SHC1,ZYX	
IL-8 Signaling	1.81E00	3.4E-02	0.816	AZU1,CCND1,GNA15,LIMK2,MAP4K4,MPO,RALB	
IL-15 Production	1.75E00	4.17E-02	2.236	EPHA1,IRF1,JAK2,PTK6,STAT1	
Role of BRCA1 in DNA Damage Response	1.74E00	5E-02	NaN	ATM,E2F1,SMARCD3,STAT1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.74E00	5E-02	2.000	CASP1,IFIT2,IFIT3,STAT1	
iNOS Signaling	1.73E00	6.67E-02	NaN	IRF1,JAK2,STAT1	
FLT3 Signaling in Hematopoietic Progenitor Cells	1.72E00	4.94E-02	2.000	RALB,SHC1,STAT1,STAT3	
Th1 and Th2 Activation Pathway	1.72E00	3.59E-02	NaN	CD274,IRF1,JAK2,SOCS3,STAT1,STAT3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.71E00	2.83E-02	NaN	CCND1,CEBPE,FCGR1A,FCGR3A/FCGR3B,JAK2,RALB,SOCS3,STAT3,TNFSF13B	
Erythropoietin Signaling Pathway	1.71E00	3.57E-02	0.000	CCND1,JAK2,RALB,SHC1,TNFSF10,TNFSF13B	
IL-23 Signaling Pathway	1.7E00	6.52E-02	NaN	JAK2,SOCS3,STAT3	
Ribonucleotide Reductase Signaling Pathway	1.7E00	3.55E-02	0.816	ATM,CCND1,E2F1,PARP14,SMARCD3,STAT3	
Pancreatic Adenocarcinoma Signaling	1.69E00	4.03E-02	1.000	CCND1,E2F1,JAK2,STAT1,STAT3	
Huntington's Disease Signaling	1.61E00	2.88E-02	-0.378	CAPN1,CASP1,CASP4,CASP5,GNA15,PSMB9,PSME2,SHC1	
Molecular Mechanisms of Cancer	1.61E00	2.48E-02	NaN	ATM,CCND1,CDK11B,E2F1,GNA15,ITGA2B,ITGB5,JAK2,PRKAR1B,RALB,SHC1	
Melanoma Signaling	1.6E00	6E-02	NaN	CCND1,E2F1,RALB	
Amyloid Processing	1.6E00	6E-02	NaN	BACE1,CAPN1,PRKAR1B	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.6E00	6E-02	NaN	ATM,YWHAG,YWHAH	
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	1.6E00	3.07E-02	2.646	CTSA,CTSG,JAK2,STAT1,STAT3,TNFSF10,TNFSF13B	
Iron homeostasis signaling pathway	1.59E00	3.79E-02	NaN	EPAS1,ERFE,JAK2,PCBP1,STAT3	
IL-12 Signaling and Production in Macrophages	1.57E00	3.73E-02	NaN	ALB,CLU,IRF1,S100A8,STAT1	
STAT3 Pathway	1.55E00	3.7E-02	1.342	JAK2,RALB,SOCS3,SOCS4,STAT3	
Insulin Receptor Signaling	1.54E00	3.68E-02	0.447	JAK2,PRKAR1B,RALB,SHC1,SOCS3	
Death Receptor Signaling	1.51E00	4.26E-02	0.000	MAP4K4,PARP14,SPTAN1,TNFSF10	
Endothelin-1 Signaling	1.5E00	3.19E-02	2.449	CASP1,CASP4,CASP5,GNA15,RALB,SHC1	
CSDE1 Signaling Pathway	1.5E00	5.45E-02	NaN	CDK11B,DDX6,PIWIL4	
Senescence Pathway	1.48E00	2.72E-02	0.000	ATM,CAPN1,CCND1,E2F1,ETS1,GADD45B,RALB,SOD2	
AMPK Signaling	1.48E00	2.9E-02	1.000	CCND1,GNA15,ORAI2,PFKFB3,PRKAR1B,SLC2A1,SMARCD3	
UVA-Induced MAPK Signaling	1.47E00	4.12E-02	NaN	ATM,PARP14,RALB,STAT1	
Retinoic acid Mediated Apoptosis Signaling	1.46E00	5.26E-02	NaN	IRF1,PARP14,TNFSF10	
Macrophage Alternative Activation Signaling Pathway	1.45E00	3.11E-02	0.000	EPAS1,JAK2,MARCO,SOCS3,STAT1,STAT3	
ATM Signaling	1.44E00	4.04E-02	NaN	ATM,GADD45B,RNF168,ZEB1	
Semaphorin Neuronal Repulsive Signaling Pathway	1.44E00	3.45E-02	-1.000	CFL1,ITGA2B,ITGB5,LIMK2,PRKAR1B	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	1.43E00	3.42E-02	NaN	C1QA,C1QB,CASP1,TNFSF10,TNFSF13B	
NADH Repair	1.43E00	3.33E-01	NaN	GAPDH	
Endocannabinoid Cancer Inhibition Pathway	1.43E00	3.42E-02	1.342	CASP1,CASP4,CASP5,CCND1,PRKAR1B	
RAR Activation	1.42E00	3.06E-02	NaN	DHRS9,JAK2,MAP3K1,PNRC1,PRKAR1B,SMARCD3	
GADD45 Signaling	1.42E00	5.08E-02	NaN	ATM,CCND1,GADD45B	
Phagosome Maturation	1.41E00	3.38E-02	NaN	CTSA,CTSG,DYNC1LI2,MPO,TUBA1B	
Endometrial Cancer Signaling	1.4E00	5E-02	NaN	CCND1,ILK,RALB	
Apoptosis Signaling	1.4E00	3.92E-02	NaN	CAPN1,MAP4K4,RALB,SPTAN1	
ID1 Signaling Pathway	1.39E00	3E-02	0.816	CCND1,E2F1,ETS1,RALB,S100A9,STAT3	
Estrogen-mediated S-phase Entry	1.38E00	7.69E-02	NaN	CCND1,E2F1	
Telomerase Signaling	1.36E00	3.81E-02	NaN	E2F1,ETS1,RALB,SHC1	
Epithelial Adherens Junction Signaling	1.33E00	3.21E-02	0.447	CFL1,LIMK2,RALB,YWHAG,YWHAH	
Antioxidant Action of Vitamin C	1.31E00	3.67E-02	NaN	GLRX,GSTO1,JAK2,SLC2A1	
Oxidized GTP and dGTP Detoxification	1.31E00	2.5E-01	NaN	DDX6	
Colorectal Cancer Metastasis Signaling	1.3E00	2.65E-02	1.633	CCND1,GNA15,JAK2,PRKAR1B,RALB,STAT1,STAT3	
Role of p14/p19ARF in Tumor Suppression	1.29E00	6.9E-02	NaN	E2F1,NPM1	
DNA Methylation and Transcriptional Repression Signaling	1.29E00	3.6E-02	NaN	CDK11B,E2F1,GADD45B,ZEB1	
Amyotrophic Lateral Sclerosis Signaling	1.25E00	3.51E-02	1.000	CAPN1,CASP1,GPX1,GRIN3A	
IL-13 Signaling Pathway	1.24E00	3.48E-02	1.000	JAK2,SOCS3,STAT1,STAT3	
Neuregulin Signaling	1.24E00	3.48E-02	NaN	ITGA2B,ITGB5,RALB,SHC1	
Androgen Signaling	1.22E00	2.99E-02	NaN	CCND1,GNA15,PRKAR1B,SHC1,TGFB1I1	
Arsenate Detoxification I (Glutaredoxin)	1.21E00	2E-01	NaN	GSTO1	
Creatine-phosphate Biosynthesis	1.21E00	2E-01	NaN	MAP4K4	
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	1.21E00	2E-01	NaN	MTHFD2	
Glycerol Degradation I	1.21E00	2E-01	NaN	GK	
Glutathione Redox Reactions II	1.21E00	2E-01	NaN	GLRX	
HER-2 Signaling in Breast Cancer	1.2E00	2.69E-02	0.000	CCND1,COX6B2,ETS1,ITGB5,RALB,STAT3	
NGF Signaling	1.2E00	3.36E-02	1.000	MAP3K1,MAP3K13,RALB,SHC1	
ERK5 Signaling	1.18E00	4.05E-02	NaN	RALB,YWHAG,YWHAH	
Estrogen Receptor Signaling	1.17E00	2.24E-02	1.667	CCND1,CFL1,GNA15,JAK2,LIMK2,PRKAR1B,RALB,SHC1,SOD2	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	1.17E00	3.28E-02	2.000	JAK2,RALB,SHC1,STAT3	
Glioma Signaling	1.17E00	3.28E-02	NaN	CCND1,E2F1,RALB,SHC1	
GDNF Family Ligand-Receptor Interactions	1.15E00	3.95E-02	NaN	DOK6,RALB,SHC1	
Cardiac Hypertrophy Signaling (Enhanced)	1.15E00	2.08E-02	1.890	GNA15,ITGA2B,ITGB5,JAK2,MAP3K1,MAP3K13,PRKAR1B,RALB,STAT3,TNFSF10,TNFSF13B	
Thyroid Cancer Signaling	1.14E00	3.9E-02	NaN	CCND1,RALB,SHC1	
Chemokine Signaling	1.14E00	3.9E-02	NaN	CFL1,LIMK2,RALB	
Pentose Phosphate Pathway (Non-oxidative Branch)	1.14E00	1.67E-01	NaN	TALDO1	
GDP-mannose Biosynthesis	1.14E00	1.67E-01	NaN	GPI	
14-3-3-mediated Signaling	1.13E00	3.17E-02	NaN	RALB,TUBA1B,YWHAG,YWHAH	
Renal Cell Carcinoma Signaling	1.12E00	3.85E-02	NaN	ETS1,RALB,SLC2A1	
Endocannabinoid Developing Neuron Pathway	1.12E00	3.15E-02	NaN	CCND1,PRKAR1B,RALB,STAT3	
Hepatic Fibrosis Signaling Pathway	1.11E00	2.18E-02	0.378	CCND1,ITGA2B,ITGB5,JAK2,PRKAR1B,RALB,SOD2,STAT3,TIMP1	
Synaptic Long Term Potentiation	1.11E00	3.12E-02	2.000	GNA15,GRIN3A,PRKAR1B,RALB	
G Beta Gamma Signaling	1.1E00	3.1E-02	2.000	GNA15,PRKAR1B,RALB,SHC1	
Wound Healing Signaling Pathway	1.1E00	2.52E-02	2.449	JAK2,RALB,SHC1,STAT1,TNFSF10,TNFSF13B	
CCR3 Signaling in Eosinophils	1.09E00	3.08E-02	NaN	CFL1,GNA15,LIMK2,RALB	
BEX2 Signaling Pathway	1.09E00	3.7E-02	NaN	BEX1,CCND1,STAT3	
Actin Cytoskeleton Signaling	1.08E00	2.5E-02	1.000	CFL1,ITGA2B,ITGB5,LIMK2,RALB,SHC1	
GNRH Signaling	1.05E00	2.66E-02	1.342	GNA15,MAP3K1,MAP3K13,PRKAR1B,RALB	
TR/RXR Activation	1.05E00	3.57E-02	NaN	ENO1,NRGN,SLC2A1	
Cyclins and Cell Cycle Regulation	1.05E00	3.57E-02	NaN	ATM,CCND1,E2F1	
PEDF Signaling	1.05E00	3.57E-02	NaN	RALB,SOD2,ZEB1	
HIPPO signaling	1.04E00	3.53E-02	NaN	TJP2,YWHAG,YWHAH	
Axonal Guidance Signaling	1.03E00	2.03E-02	NaN	CFL1,EPHA1,GNA15,ITGA2B,ITGB5,LIMK2,PRKAR1B,RALB,SHC1,TUBA1B	
B Cell Receptor Signaling	1.03E00	2.17E-02	1.890	CFL1,ETS1,IGHV3-53,MAP3K1,MAP3K13,PIK3AP1,RALB,SHC1	
Sucrose Degradation V (Mammalian)	1.02E00	1.25E-01	NaN	TPI1	
Histidine Degradation III	1.02E00	1.25E-01	NaN	MTHFD2	
Superoxide Radicals Degradation	1.02E00	1.25E-01	NaN	SOD2	
Xenobiotic Metabolism General Signaling Pathway	1.02E00	2.9E-02	1.000	GSTO1,MAP3K1,MAP3K13,RALB	
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.02E00	2.59E-02	NaN	ETS1,JAK2,RALB,STAT3,ZEB1	
Coronavirus Replication Pathway	1.01E00	4.76E-02	NaN	IFITM3,TUBA1B	
CDX Gastrointestinal Cancer Signaling Pathway	1E00	2.56E-02	0.447	CCND1,JAK2,STAT3,TNFSF10,TNFSF13B	
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	1E00	2.86E-02	2.000	CASP1,CEBPE,JAK2,STAT3	
B Cell Activating Factor Signaling	9.96E-01	4.65E-02	NaN	MAP3K1,TNFSF13B	
ILK Signaling	9.96E-01	2.55E-02	1.342	CCND1,CFL1,ILK,ITGB5,TGFB1I1	
Pulmonary Healing Signaling Pathway	9.87E-01	2.54E-02	1.342	CCND1,CFL1,ELANE,RALB,STAT3	
Acute Myeloid Leukemia Signaling	9.83E-01	3.33E-02	NaN	CCND1,RALB,STAT3	
Triacylglycerol Degradation	9.79E-01	4.55E-02	NaN	ABHD16A,TNFAIP6	
Actin Nucleation by ARP-WASP Complex	9.71E-01	3.3E-02	NaN	ITGA2B,ITGB5,RALB	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	9.71E-01	1.11E-01	NaN	TYMP	
Folate Transformations I	9.71E-01	1.11E-01	NaN	MTHFD2	
nNOS Signaling in Neurons	9.63E-01	4.44E-02	NaN	CAPN1,GRIN3A	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	9.51E-01	3.23E-02	NaN	FCGR1A,FCGR3A/FCGR3B,FYB1	
Non-Small Cell Lung Cancer Signaling	9.51E-01	3.23E-02	NaN	CCND1,E2F1,RALB	
Aryl Hydrocarbon Receptor Signaling	9.43E-01	2.72E-02	NaN	ATM,CCND1,E2F1,GSTO1	
HIF1α Signaling	9.39E-01	2.45E-02	1.342	GPI,PKM,RALB,SLC2A1,STAT3	
mTOR Signaling	9.32E-01	2.44E-02	NaN	RALB,RPS12,RPS20,RPS27,RPS29	
Ephrin A Signaling	9.28E-01	4.26E-02	NaN	CFL1,EPHA1	
IL-1 Signaling	9.21E-01	3.12E-02	NaN	GNA15,MAP3K1,PRKAR1B	
Insulin Secretion Signaling Pathway	9.17E-01	2.25E-02	1.633	GNA15,JAK2,PRKAR1B,SLC2A1,STAT1,STAT3	
PFKFB4 Signaling Pathway	9.14E-01	4.17E-02	NaN	GPI,PRKAR1B	
Type II Diabetes Mellitus Signaling	9.1E-01	2.65E-02	NaN	MAP3K1,PKM,SOCS3,SOCS4	
Melanocyte Development and Pigmentation Signaling	9E-01	3.06E-02	NaN	PRKAR1B,RALB,SHC1	
Necroptosis Signaling Pathway	8.96E-01	2.61E-02	2.000	CAPN1,CASP1,STAT1,TNFSF10	
Glycogen Degradation II	8.86E-01	9.09E-02	NaN	TYMP	
Autophagy	8.83E-01	2.35E-02	1.342	ATM,E2F1,PRKAR1B,RALB,VAMP8	
Ovarian Cancer Signaling	8.73E-01	2.56E-02	NaN	CCND1,E2F1,PRKAR1B,RALB	
HMGB1 Signaling	8.54E-01	2.52E-02	NaN	KAT6B,RALB,TNFSF10,TNFSF13B	
RHOGDI Signaling	8.54E-01	2.29E-02	NaN	CFL1,GNA15,ITGA2B,ITGB5,LIMK2	
Mouse Embryonic Stem Cell Pluripotency	8.54E-01	2.91E-02	NaN	JAK2,RALB,STAT3	
Phagosome Formation	8.54E-01	1.79E-02	2.887	CFL1,FCGR1A,FCGR1BP,FCGR3A/FCGR3B,ITGA2B,ITGB5,LIMK2,LTB4R,MARCO,P2RY14,RALB,RXFP2	
UDP-N-acetyl-D-galactosamine Biosynthesis II	8.51E-01	8.33E-02	NaN	GPI	
PPAR Signaling	8.45E-01	2.88E-02	NaN	MAP4K4,RALB,SHC1	
PD-1, PD-L1 cancer immunotherapy pathway	8.45E-01	2.88E-02	NaN	CD274,JAK2,PDCD1LG2	
Glucocorticoid Receptor Signaling	8.36E-01	1.85E-02	NaN	FCGR1A,JAK2,KRT38,MAP3K1,RALB,SHC1,SMARCD3,STAT1,STAT3,YWHAH	
FAT10 Signaling Pathway	8.33E-01	3.7E-02	NaN	PSMB9,PSME2	
α-Adrenergic Signaling	8.27E-01	2.83E-02	NaN	GNA15,PRKAR1B,RALB	
Chronic Myeloid Leukemia Signaling	8.27E-01	2.83E-02	NaN	CCND1,E2F1,RALB	
Paxillin Signaling	8.27E-01	2.83E-02	NaN	ITGA2B,ITGB5,RALB	
S100 Family Signaling Pathway	8.24E-01	1.74E-02	3.051	AHNAK,DEFA4,FCGR1A,FCGR1BP,FCGR3A/FCGR3B,ILK,LTB4R,P2RY14,PRKAR1B,RXFP2,S100A8,S100A9,STAT3	
Acyl-CoA Hydrolysis	8.21E-01	7.69E-02	NaN	ACOT7	
Glycogen Degradation III	8.21E-01	7.69E-02	NaN	TYMP	
Guanosine Nucleotides Degradation III	8.21E-01	7.69E-02	NaN	NT5C2	
CD27 Signaling in Lymphocytes	8.18E-01	3.64E-02	NaN	MAP3K1,MAP3K13	
SPINK1 Pancreatic Cancer Pathway	8.18E-01	3.64E-02	NaN	CTSA,ELANE	
Mitochondrial Dysfunction	8.12E-01	2.42E-02	NaN	BACE1,COX6B2,SOD2,VPS9D1	
Regulation of Actin-based Motility by Rho	7.93E-01	2.73E-02	NaN	CFL1,ITGA2B,ITGB5	
Glioblastoma Multiforme Signaling	7.93E-01	2.38E-02	NaN	CCND1,E2F1,RALB,SHC1	
DNA Double-Strand Break Repair by Homologous Recombination	7.9E-01	7.14E-02	NaN	ATM	
DNA Double-Strand Break Repair by Non-Homologous End Joining	7.9E-01	7.14E-02	NaN	ATM	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	7.9E-01	7.14E-02	NaN	NT5C2	
Colanic Acid Building Blocks Biosynthesis	7.9E-01	7.14E-02	NaN	GPI	
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	7.88E-01	2.05E-02	1.633	CCND1,FCGR1A,FCGR1BP,FCGR3A/FCGR3B,RALB,SHC1	
Prostate Cancer Signaling	7.85E-01	2.7E-02	NaN	CCND1,E2F1,RALB	
Role of CHK Proteins in Cell Cycle Checkpoint Control	7.83E-01	3.45E-02	NaN	ATM,E2F1	
